Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
258.370000,0.080000,78.330000,78.260000,78.120000,0.000000,-16.000000,-694.000000
258.380000,0.080000,78.330000,78.260000,78.120000,0.000000,-16.000000,-694.000000
258.400000,0.080000,78.330000,78.260000,78.120000,0.000000,-16.000000,-694.000000
258.410000,0.080000,78.330000,78.250000,78.120000,0.000000,-16.000000,-694.000000
258.430000,0.080000,78.330000,78.250000,78.120000,0.000000,-16.000000,-694.000000
258.440000,0.080000,78.330000,78.250000,78.120000,0.000000,-16.000000,-694.000000
258.460000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
258.470000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
258.490000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
258.500000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
258.520000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
258.530000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
258.550000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.560000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.580000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.590000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.610000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.620000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.640000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.650000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.670000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.680000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.700000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.710000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.730000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
