Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
331.290000,0.080000,77.980000,78.150000,77.710000,0.000000,-17.000000,-693.000000
331.310000,0.080000,77.980000,78.150000,77.710000,0.000000,-17.000000,-693.000000
331.320000,0.080000,77.980000,78.160000,77.710000,0.000000,-17.000000,-693.000000
331.340000,0.080000,77.980000,78.160000,77.710000,0.000000,-17.000000,-693.000000
331.350000,0.080000,77.980000,78.160000,77.710000,0.000000,-17.000000,-693.000000
331.370000,0.080000,77.980000,78.170000,77.710000,0.000000,-17.000000,-693.000000
331.380000,0.080000,77.980000,78.170000,77.710000,0.000000,-17.000000,-693.000000
331.400000,0.080000,77.980000,78.180000,77.710000,0.000000,-17.000000,-693.000000
331.410000,0.080000,77.980000,78.180000,77.710000,0.000000,-17.000000,-693.000000
331.430000,0.080000,77.980000,78.180000,77.710000,0.000000,-17.000000,-693.000000
331.440000,0.080000,77.980000,78.180000,77.710000,0.000000,-17.000000,-693.000000
331.460000,0.080000,77.980000,78.180000,77.710000,0.000000,-17.000000,-693.000000
331.470000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
331.490000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
331.500000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
331.520000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
331.530000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
331.550000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
331.560000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
331.580000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
331.590000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
331.610000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
331.620000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
331.640000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
331.650000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
331.670000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
331.680000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
331.700000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.710000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.730000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
